T0;Tr;Tpco;Tpm;Tzco;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
3.050000;19.248687;42.530502;52.004334;49.718605;77.375000;0.009124;0.009124;15.000000;0.132889;0.821151;0.821151
3.050000;19.417482;42.477273;52.210125;49.962701;77.375000;0.008640;0.008640;15.000000;0.130845;0.777632;0.777632
3.050000;19.561306;42.396489;52.351809;50.168350;77.375000;0.008140;0.008140;15.000000;0.126571;0.732576;0.732576
3.050000;19.681071;42.264997;52.414970;50.315478;77.375000;0.007625;0.007625;15.000000;0.120581;0.686226;0.686226
3.050000;19.776461;42.066179;52.398415;50.396253;77.375000;0.007098;0.007098;15.000000;0.113516;0.638824;0.638824
3.050000;19.846461;41.790093;52.311677;50.413708;77.375000;0.006562;0.006562;15.000000;0.106029;0.590620;0.590620
3.050000;19.889797;41.432634;52.172186;50.379706;77.375000;0.006021;0.006021;15.000000;0.098689;0.541875;0.541875
3.050000;19.905262;40.994074;52.002188;50.312460;77.375000;0.005476;0.005476;15.000000;0.091903;0.492863;0.492863
3.050000;19.891898;40.477270;51.825432;50.233667;77.375000;0.004932;0.004932;15.000000;0.085876;0.443868;0.443868
3.050000;19.849055;39.885732;51.663762;50.165375;77.375000;0.004391;0.004391;15.000000;0.080590;0.395184;0.395184
3.050000;19.776339;39.221776;51.533976;50.126830;77.375000;0.003857;0.003857;15.000000;0.075821;0.347107;0.347107
3.050000;19.673460;38.484971;51.445463;50.131752;77.375000;0.003333;0.003333;15.000000;0.071184;0.299938;0.299938
3.050000;19.540037;37.671139;51.399063;50.186509;77.375000;0.002822;0.002822;15.000000;0.066201;0.253981;0.253981
3.000000;19.371889;36.772617;51.413435;50.305830;77.500000;0.002329;0.002329;15.000000;0.061258;0.209566;0.209566
3.000000;19.171877;35.779044;51.459556;50.480043;77.500000;0.001856;0.001856;15.000000;0.054687;0.167023;0.167023
3.000000;18.938289;34.675995;51.510771;50.685082;77.500000;0.001408;0.001408;15.000000;0.046170;0.126679;0.126679
3.000000;18.668767;33.447628;51.538128;50.893931;77.500000;0.000988;0.000988;15.000000;0.035558;0.088886;0.088886
3.000000;18.360393;32.079795;51.515002;51.078772;77.500000;0.000600;0.000600;15.000000;0.022982;0.054018;0.054018
3.000000;18.009949;30.563188;51.419302;51.213217;77.500000;0.000250;0.000250;15.000000;0.008840;0.022484;0.022484
2.900000;17.607320;28.902936;51.301134;51.293265;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.900000;17.163159;27.316636;51.297207;51.297191;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.900000;16.690633;25.885453;51.297199;51.297199;77.750000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;16.194279;24.584466;51.297387;51.297386;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;15.690831;23.393688;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;15.186906;22.297454;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;14.687491;21.283047;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;14.196305;20.340097;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;13.716065;19.460100;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;13.248716;18.636038;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;12.795597;17.862086;51.297387;51.297387;78.000000;0.000000;0.000000;15.000000;0.000000;0.000000;0.000000
2.800000;12.357604;17.140767;51.295348;51.284507;78.000000;0.000050;0.000050;15.000000;0.000000;0.004494;0.004494
2.750000;11.939623;16.799618;51.014049;50.832356;78.125000;0.000372;0.000372;15.000000;0.000000;0.033453;0.033453
2.750000;11.570969;16.998173;50.155603;49.780817;78.125000;0.000737;0.000737;15.000000;0.000000;0.066316;0.066316
2.750000;11.273830;17.660677;48.712685;48.156551;78.125000;0.001138;0.001138;15.000000;0.000000;0.102449;0.102449
2.750000;11.061603;18.653155;46.759610;46.057759;78.125000;0.001567;0.001567;15.000000;0.000000;0.141051;0.141051
2.750000;10.937315;19.806197;44.434034;43.638321;78.125000;0.002014;0.002014;15.000000;0.000000;0.181245;0.181245
2.750000;10.893895;20.950151;42.277546;41.186333;78.125000;0.002469;0.002469;15.000000;0.033589;0.222189;0.222189
2.750000;10.918768;22.077022;43.269063;40.979873;78.125000;0.002924;0.002924;15.000000;0.127253;0.263149;0.263149
2.750000;11.010258;23.481707;46.660788;43.383185;78.125000;0.003372;0.003372;15.000000;0.206287;0.303466;0.303466
2.750000;11.182358;25.360125;50.483247;46.702484;78.125000;0.003804;0.003804;15.000000;0.254469;0.342399;0.342399
2.750000;11.450442;27.634935;53.480221;49.583389;78.125000;0.004212;0.004212;15.000000;0.271414;0.379042;0.379042
2.750000;11.817878;30.056915;55.340867;51.546132;78.125000;0.004582;0.004582;15.000000;0.264966;0.412406;0.412406
2.750000;12.272673;32.365553;56.229832;52.647035;78.125000;0.004906;0.004906;15.000000;0.244201;0.441556;0.441556
2.750000;12.791721;34.377141;56.414819;53.096996;78.125000;0.005175;0.005175;15.000000;0.216496;0.465753;0.465753
2.750000;13.347186;35.999079;56.124750;53.091468;78.125000;0.005384;0.005384;15.000000;0.187153;0.484520;0.484520
2.750000;13.911725;37.210399;55.531509;52.777864;78.125000;0.005530;0.005530;15.000000;0.159808;0.497658;0.497658
2.650000;14.454775;38.041141;54.835568;52.311794;78.375000;0.005614;0.005614;15.000000;0.138544;0.505266;0.505266
2.650000;14.966367;38.550659;54.083836;51.762963;78.375000;0.005640;0.005640;15.000000;0.122309;0.507619;0.507619
