           T               Tw
        2009-12-11 07:35     2,6
        2009-12-11 07:40     2,6
        2009-12-11 07:45     2,6
        2009-12-11 07:50     2,5
        2009-12-11 07:55     2,6
        2009-12-11 08:00     2,6
        2009-12-11 08:05     2,6
        2009-12-11 08:10     2,5
        2009-12-11 08:15     2,5
        2009-12-11 08:20     2,5
        2009-12-11 08:25     2,5
        2009-12-11 08:30     2,5
        2009-12-11 08:35     2,5
        2009-12-11 08:40     2,5
        2009-12-11 08:45     2,5
        2009-12-11 08:50     2,5
        2009-12-11 08:55     2,5
        2009-12-11 09:00     2,5
        2009-12-11 09:05     2,5
        2009-12-11 09:10     2,5
        2009-12-11 09:15     2,5
        2009-12-11 09:20     2,5
        2009-12-11 09:25     2,5
        2009-12-11 09:30     2,5
        2009-12-11 09:35     2,5
        2009-12-11 09:40     2,6
        2009-12-11 09:45     2,6
        2009-12-11 09:50     2,6
        2009-12-11 09:55     2,6
        2009-12-11 10:00     2,6
        2009-12-11 10:05     2,6
        2009-12-11 10:10     2,6
        2009-12-11 10:15     2,6
        2009-12-11 10:20    2,65
        2009-12-11 10:25    2,65
        2009-12-11 10:30    2,65
        2009-12-11 10:35    2,65
        2009-12-11 10:40    2,65
        2009-12-11 10:45    2,65
        2009-12-11 10:50    2,65
        2009-12-11 10:55    2,65
        2009-12-11 11:00    2,65
        2009-12-11 11:05    2,65
        2009-12-11 11:10    2,65
        2009-12-11 11:15    2,75
        2009-12-11 11:20    2,65
        2009-12-11 11:25    2,75
        2009-12-11 11:30    2,75
        2009-12-11 11:35    2,75
        2009-12-11 11:40    2,75
        2009-12-11 11:45    2,75
        2009-12-11 11:50     2,8
        2009-12-11 11:55     2,8
        2009-12-11 12:00     2,8
        2009-12-11 12:05     2,8
        2009-12-11 12:10     2,9
        2009-12-11 12:15     2,8
        2009-12-11 12:20     2,9
        2009-12-11 12:25     2,9
        2009-12-11 12:30     2,9
        2009-12-11 12:35       3
        2009-12-11 12:40       3
        2009-12-11 12:45       3
        2009-12-11 12:50       3
        2009-12-11 12:55       3
        2009-12-11 13:00       3
        2009-12-11 13:05    3,05
        2009-12-11 13:10    3,05
        2009-12-11 13:15    3,05
        2009-12-11 13:20    3,05
        2009-12-11 13:25    3,05
        2009-12-11 13:30    3,05
        2009-12-11 13:35    3,05
        2009-12-11 13:40       3
        2009-12-11 13:45    3,05
        2009-12-11 13:50       3
        2009-12-11 13:55       3
        2009-12-11 14:00       3
        2009-12-11 14:05       3
        2009-12-11 14:10       3
        2009-12-11 14:15       3
        2009-12-11 14:20       3
        2009-12-11 14:25    3,05
        2009-12-11 14:30       3
        2009-12-11 14:35    3,05
        2009-12-11 14:40    3,05
