T0;Tr;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
2.65;20.329209;40.599242;52.147783;50.356099;50.3625;78.375;0.005475;0.005475;20;0.09778;0.492778;0.492778
2.65;20.220377;40.392721;52.162989;50.345821;50.3625;78.375;0.005444;0.005444;20;0.099384;0.489931;0.489931
2.65;20.115296;40.242666;52.186892;50.335826;50.3625;78.375;0.005467;0.005467;20;0.10147;0.492069;0.492069
2.65;20.01677;40.152408;52.218426;50.326926;50.3625;78.375;0.005541;0.005541;20;0.103923;0.498652;0.498652
2.65;19.927348;40.122101;52.255888;50.319849;50.3625;78.375;0.005656;0.005656;20;0.106595;0.509033;0.509033
2.65;19.849169;40.14858;52.29713;50.31513;50.3625;78.375;0.005805;0.005805;20;0.109328;0.522488;0.522488
2.65;19.783837;40.225671;52.339816;50.313035;50.3625;78.375;0.005981;0.005981;20;0.111969;0.538252;0.538252
2.75;19.738678;40.312405;52.149053;50.125202;50.1875;78.125;0.006164;0.006164;20;0.112672;0.554751;0.554751
2.65;19.698153;40.455968;52.439352;50.318168;50.3625;78.375;0.006366;0.006366;20;0.117003;0.572941;0.572941
2.75;19.678778;40.608926;52.228679;50.136525;50.1875;78.125;0.006561;0.006561;20;0.116572;0.590503;0.590503
2.75;19.670063;40.760093;52.274934;50.142956;50.1875;78.125;0.006752;0.006752;20;0.118413;0.607696;0.607696
2.75;19.671405;40.925576;52.30403;50.151744;50.1875;78.125;0.006934;0.006934;20;0.119536;0.624065;0.624065
2.75;19.681989;41.093811;52.326198;50.160043;50.1875;78.125;0.007102;0.007102;20;0.120285;0.639207;0.639207
2.75;19.700556;41.256647;52.341899;50.16774;50.1875;78.125;0.007254;0.007254;20;0.120693;0.652817;0.652817
2.8;19.728741;41.389788;52.234447;50.081784;50.1;78;0.007381;0.007381;20;0.119779;0.664283;0.664283
2.8;19.760126;41.504338;52.248865;50.08718;50.1;78;0.007488;0.007488;20;0.120058;0.673934;0.673934
2.8;19.793751;41.610144;52.25394;50.093145;50.1;78;0.007575;0.007575;20;0.119948;0.681732;0.681732
2.8;19.828709;41.702945;52.254919;50.098133;50.1;78;0.007641;0.007641;20;0.119664;0.687678;0.687678
2.9;19.870251;41.74249;52.016948;49.917214;49.925;77.75;0.007678;0.007678;20;0.117069;0.691035;0.691035
2.8;19.901511;41.797878;52.266121;50.103473;50.1;78;0.007707;0.007707;20;0.119551;0.693613;0.693613
2.9;19.938827;41.82346;52.013272;49.924707;49.925;77.75;0.00771;0.00771;20;0.116322;0.693857;0.693857
2.9;19.971623;41.820399;52.022029;49.924603;49.925;77.75;0.007698;0.007698;20;0.116448;0.692797;0.692797
2.9;20.000126;41.817172;52.019627;49.927599;49.925;77.75;0.007674;0.007674;20;0.116088;0.690637;0.690637
3;20.030952;41.771396;51.779535;49.745006;49.75;77.5;0.007631;0.007631;20;0.113477;0.686748;0.686748
3;20.054555;41.712834;51.792269;49.745076;49.75;77.5;0.00758;0.00758;20;0.113815;0.682222;0.682222
3;20.072244;41.665159;51.793323;49.748491;49.75;77.5;0.007525;0.007525;20;0.11363;0.677262;0.677262
3;20.085161;41.621508;51.791867;49.751369;49.75;77.5;0.007467;0.007467;20;0.113343;0.672017;0.672017
3;20.094027;41.578577;51.788613;49.753506;49.75;77.5;0.007407;0.007407;20;0.113004;0.666635;0.666635
3;20.099347;41.534955;51.78433;49.75481;49.75;77.5;0.007347;0.007347;20;0.112663;0.661255;0.661255
3.05;20.104643;41.471969;51.662185;49.662538;49.6625;77.375;0.007285;0.007285;20;0.111305;0.655607;0.655607
3.05;20.105425;41.405008;51.666967;49.662008;49.6625;77.375;0.007225;0.007225;20;0.111416;0.65026;0.65026
3.05;20.102609;41.346503;51.666606;49.662826;49.6625;77.375;0.00717;0.00717;20;0.111336;0.645328;0.645328
3.05;20.097042;41.293922;51.665857;49.663283;49.6625;77.375;0.007121;0.007121;20;0.111261;0.640883;0.640883
3.05;20.089371;41.24624;51.665026;49.663393;49.6625;77.375;0.007078;0.007078;20;0.111207;0.636982;0.636982
3.05;20.080123;41.203145;51.664418;49.663167;49.6625;77.375;0.007041;0.007041;20;0.111189;0.633664;0.633664
3.05;20.069758;41.164692;51.664247;49.662689;49.6625;77.375;0.007011;0.007011;20;0.111215;0.63095;0.63095
3;20.055546;41.148936;51.781735;49.755194;49.75;77.5;0.006992;0.006992;20;0.112283;0.629243;0.629243
3.05;20.045813;41.124011;51.656247;49.661497;49.6625;77.375;0.006974;0.006974;20;0.111042;0.627681;0.627681
3;20.032389;41.1106;51.780607;49.752494;49.75;77.5;0.006967;0.006967;20;0.112409;0.627073;0.627073
3;20.020445;41.109193;51.774398;49.752154;49.75;77.5;0.006966;0.006966;20;0.112278;0.626953;0.626953
3;20.009892;41.106909;51.774149;49.750497;49.75;77.5;0.00697;0.00697;20;0.11238;0.627255;0.627255
3;20.000575;41.105969;51.774989;49.749172;49.75;77.5;0.006977;0.006977;20;0.112522;0.62793;0.62793
3;19.992447;41.107387;51.776686;49.74814;49.75;77.5;0.006988;0.006988;20;0.112694;0.628922;0.628922
3;19.985503;41.11156;51.778955;49.747425;49.75;77.5;0.007002;0.007002;20;0.112878;0.630173;0.630173
3;19.97975;41.118482;51.781551;49.746997;49.75;77.5;0.007018;0.007018;20;0.113061;0.631622;0.631622
3.05;19.97832;41.110018;51.667076;49.653715;49.6625;77.375;0.007031;0.007031;20;0.112226;0.632811;0.632811
3;19.973234;41.117952;51.796239;49.74657;49.75;77.5;0.00705;0.00705;20;0.113749;0.634536;0.634536
3.05;19.972954;41.121131;51.675976;49.65515;49.6625;77.375;0.007066;0.007066;20;0.112652;0.63591;0.63591
3.05;19.972534;41.118664;51.686685;49.654993;49.6625;77.375;0.007081;0.007081;20;0.11309;0.637314;0.637314
3.05;19.972241;41.123062;51.69166;49.656406;49.6625;77.375;0.007097;0.007097;20;0.113286;0.638726;0.638726
3;19.969225;41.149463;51.812787;49.750653;49.75;77.5;0.007117;0.007117;20;0.114452;0.640499;0.640499
3;19.96843;41.181597;51.806495;49.752077;49.75;77.5;0.007135;0.007135;20;0.114193;0.642146;0.642146
3;19.969322;41.206611;51.804968;49.751786;49.75;77.5;0.007151;0.007151;20;0.114126;0.643618;0.643618
3;19.971361;41.226859;51.803758;49.751458;49.75;77.5;0.007166;0.007166;20;0.114078;0.644901;0.644901
3;19.974173;41.243594;51.802829;49.75116;49.75;77.5;0.007178;0.007178;20;0.114043;0.645984;0.645984
3;19.977487;41.257545;51.802057;49.750973;49.75;77.5;0.007187;0.007187;20;0.114008;0.646863;0.646863
3;19.981097;41.269127;51.801337;49.750898;49.75;77.5;0.007195;0.007195;20;0.11397;0.647538;0.647538
3;19.984838;41.278585;51.800596;49.750908;49.75;77.5;0.0072;0.0072;20;0.113924;0.648016;0.648016
3;19.988581;41.286069;51.799793;49.750971;49.75;77.5;0.007203;0.007203;20;0.113871;0.648306;0.648306
3;19.992217;41.291699;51.798908;49.751058;49.75;77.5;0.007205;0.007205;20;0.113811;0.648422;0.648422
3;19.99566;41.295583;51.797945;49.751148;49.75;77.5;0.007204;0.007204;20;0.113747;0.64838;0.64838
3;19.998838;41.29784;51.796915;49.751225;49.75;77.5;0.007202;0.007202;20;0.11368;0.648198;0.648198
2.9;19.995447;41.335131;52.030356;49.93712;49.925;77.75;0.007208;0.007208;20;0.115661;0.648692;0.648692
3;20.001371;41.341572;51.775904;49.752016;49.75;77.5;0.007202;0.007202;20;0.1128;0.648177;0.648177
2.9;19.99953;41.359858;52.020495;49.934634;49.925;77.75;0.007204;0.007204;20;0.115251;0.648345;0.648345
2.9;19.999699;41.39059;52.002854;49.93555;49.925;77.75;0.007204;0.007204;20;0.114557;0.648355;0.648355
2.8;19.994904;41.444408;52.230489;50.119338;50.1;78;0.007211;0.007211;20;0.116336;0.648986;0.648986
2.8;19.994058;41.496848;52.206578;50.118157;50.1;78;0.007215;0.007215;20;0.115424;0.64936;0.64936
2.8;19.995591;41.527574;52.195024;50.114202;50.1;78;0.007216;0.007216;20;0.115015;0.649472;0.649472
2.8;19.998243;41.54496;52.186371;50.110782;50.1;78;0.007215;0.007215;20;0.114735;0.649364;0.649364
2.75;19.998151;41.572215;52.297353;50.200987;50.1875;78.125;0.007216;0.007216;20;0.115561;0.649471;0.649471
2.75;19.999723;41.597483;52.283401;50.19918;50.1875;78.125;0.007215;0.007215;20;0.115068;0.649372;0.649372
2.65;19.995904;41.64769;52.510728;50.382491;50.3625;78.375;0.007221;0.007221;20;0.116843;0.649879;0.649879
2.75;20.001986;41.660765;52.251844;50.194762;50.1875;78.125;0.007215;0.007215;20;0.113933;0.649322;0.649322
2.65;20.000551;41.682431;52.493579;50.376195;50.3625;78.375;0.007216;0.007216;20;0.116257;0.649409;0.649409
2.65;20.001198;41.714358;52.47383;50.375611;50.3625;78.375;0.007215;0.007215;20;0.115553;0.649308;0.649308
2.65;20.0031;41.731559;52.4656;50.372688;50.3625;78.375;0.007211;0.007211;20;0.115268;0.649014;0.649014
2.65;20.005451;41.739798;52.45932;50.370309;50.3625;78.375;0.007206;0.007206;20;0.115058;0.648566;0.648566
2.6;20.004668;41.760676;52.571938;50.461451;50.45;78.5;0.007204;0.007204;20;0.115911;0.648397;0.648397
2.6;20.005331;41.781302;52.559095;50.460165;50.45;78.5;0.007201;0.007201;20;0.115455;0.648086;0.648086
2.6;20.006741;41.791388;52.5527;50.457902;50.45;78.5;0.007196;0.007196;20;0.115233;0.647644;0.647644
2.6;20.008341;41.795038;52.547859;50.456028;50.45;78.5;0.00719;0.00719;20;0.115074;0.647107;0.647107
2.5;20.003572;41.831339;52.778743;50.640746;50.625;78.75;0.007192;0.007192;20;0.116944;0.647299;0.647299
2.5;20.001937;41.871862;52.757398;50.639813;50.625;78.75;0.007193;0.007193;20;0.116186;0.647336;0.647336
2.5;20.00223;41.894509;52.747939;50.636592;50.625;78.75;0.007191;0.007191;20;0.115852;0.647208;0.647208
2.5;20.003424;41.906412;52.740848;50.633786;50.625;78.75;0.007188;0.007188;20;0.115625;0.646949;0.646949
2.4;19.998683;41.948394;52.970193;50.817764;50.8;79;0.007193;0.007193;20;0.117446;0.647385;0.647385
2.4;19.997342;41.992954;52.947816;50.816091;50.8;79;0.007196;0.007196;20;0.116682;0.64763;0.64763
2.35;19.994963;42.03702;53.054992;50.905609;50.8875;79.125;0.007201;0.007201;20;0.117321;0.648073;0.648073
2.35;19.995291;42.073022;53.038105;50.902547;50.8875;79.125;0.007203;0.007203;20;0.116757;0.648293;0.648293
2.35;19.997125;42.093698;53.028957;50.898873;50.8875;79.125;0.007203;0.007203;20;0.116468;0.648303;0.648303
2.35;19.999596;42.104938;53.022252;50.895923;50.8875;79.125;0.007202;0.007202;20;0.116271;0.648139;0.648139
2.35;20.002202;42.110198;53.017396;50.893668;50.8875;79.125;0.007198;0.007198;20;0.116134;0.647833;0.647833
2.35;20.004656;42.111605;53.013839;50.892036;50.8875;79.125;0.007194;0.007194;20;0.116032;0.647416;0.647416
2.35;20.006801;42.110474;53.011176;50.890889;50.8875;79.125;0.007188;0.007188;20;0.11595;0.646913;0.646913
2.35;20.00856;42.107635;53.009126;50.890093;50.8875;79.125;0.007182;0.007182;20;0.115882;0.646352;0.646352
2.35;20.009902;42.103635;53.007502;50.889536;50.8875;79.125;0.007175;0.007175;20;0.115822;0.645754;0.645754
2.25;20.00458;42.135606;53.240619;51.075603;51.0625;79.375;0.007177;0.007177;20;0.11771;0.645936;0.645936
2.25;20.002279;42.173688;53.220807;51.075149;51.0625;79.375;0.007178;0.007178;20;0.117027;0.646005;0.646005
2.25;20.001892;42.195214;53.212542;51.072538;51.0625;79.375;0.007177;0.007177;20;0.116724;0.645945;0.645945
2.25;20.002456;42.206855;53.206308;51.07016;51.0625;79.375;0.007175;0.007175;20;0.116521;0.645783;0.645783
2.15;19.997169;42.249217;53.436246;51.254668;51.2375;79.625;0.007182;0.007182;20;0.118318;0.646335;0.646335
2.25;20.001628;42.257683;53.179555;51.066301;51.0625;79.375;0.007177;0.007177;20;0.115664;0.645918;0.645918
2.15;19.998604;42.27766;53.423233;51.249526;51.2375;79.625;0.00718;0.00718;20;0.117902;0.646222;0.646222
2.15;19.997812;42.30932;53.404721;51.248673;51.2375;79.625;0.007182;0.007182;20;0.117323;0.646399;0.646399
2.15;19.998479;42.32751;53.397753;51.246114;51.2375;79.625;0.007183;0.007183;20;0.11709;0.646429;0.646429
2.15;19.999834;42.337642;53.392491;51.244012;51.2375;79.625;0.007182;0.007182;20;0.116923;0.646338;0.646338
2.1;19.998308;42.361123;53.50592;51.335612;51.325;79.75;0.007184;0.007184;20;0.117771;0.646544;0.646544
2.1;19.998478;42.384651;53.493727;51.334175;51.325;79.75;0.007185;0.007185;20;0.11738;0.646613;0.646613
2.1;19.999629;42.397937;53.487981;51.332082;51.325;79.75;0.007184;0.007184;20;0.117186;0.646548;0.646548
2.1;20.001188;42.404943;53.483665;51.330356;51.325;79.75;0.007182;0.007182;20;0.117049;0.646372;0.646372
