T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2;;Uchyb;B³¹d wzglêdny uchybu
lut.65;12.929218;19.645097;49.745378;49.043019;50.3625;78.375;0.001648;0.001648;15;0;0.148307;0.148307;12.929218;15;;2.070782;13.81%
lut.65;12.642691;21.871688;50.373032;47.378801;50.3625;78.375;0.003204;0.003204;15;0.194144;0.288373;0.288373;12.642691;15;;2.357309;15.72%
lut.75;12.558404;25.193714;51.884341;48.074654;50.1875;78.125;0.004641;0.004641;15;0.230568;0.417645;0.417645;12.558404;15;;2.441596;16.28%
lut.75;12.685231;28.877135;52.902459;48.785999;50.1875;78.125;0.00583;0.00583;15;0.246951;0.524713;0.524713;12.685231;15;;2.314769;15.43%
lut.75;12.996608;32.26197;53.434769;49.401552;50.1875;78.125;0.006691;0.006691;15;0.239619;0.602194;0.602194;12.996608;15;;2.003392;13.36%
lut.65;13.434627;35.031465;53.846045;50.067029;50.3625;78.375;0.007201;0.007201;15;0.220376;0.648052;0.648052;13.434627;15;;1.565373;10.44%
lut.75;13.958237;37.026307;53.537611;50.213166;50.1875;78.125;0.007345;0.007345;15;0.190838;0.66107;0.66107;13.958237;15;;1.041763;6.95%
lut.75;14.506209;38.302366;53.353061;50.398159;50.1875;78.125;0.007163;0.007163;15;0.166054;0.644671;0.644671;14.506209;15;;0.493791;3.29%
lut.65;15.033147;39.033103;53.329868;50.676604;50.3625;78.375;0.006704;0.006704;15;0.145724;0.603381;0.603381;15.033147;15;;0.033147;0.22%
lut.65;15.520933;39.291076;53.027667;50.716307;50.3625;78.375;0.006006;0.006006;15;0.124787;0.540543;0.540543;15.520933;15;;0.520933;3.47%
lut.65;16.013153;41.196957;53.625939;50.117918;50.3625;78.375;0.011111;0.011111;20;0.203152;1;1;16.013153;20;;3.986847;19.93%
lut.65;16.523754;42.314504;53.517868;50.433675;50.3625;78.375;0.011111;0.011111;20;0.174351;1;1;16.523754;20;;3.476246;17.38%
lut.65;17.018658;42.979043;53.357066;50.526596;50.3625;78.375;0.011111;0.011111;20;0.158672;1;1;17.018658;20;;2.981342;14.91%
lut.65;17.479767;43.367848;53.207367;50.535598;50.3625;78.375;0.011111;0.011111;20;0.14913;1;1;17.479767;20;;2.520233;12.6%
lut.65;17.899483;43.597612;53.084481;50.512466;50.3625;78.375;0.011111;0.011111;20;0.1433;1;1;17.899483;20;;2.100517;10.5%
lut.65;18.276307;43.738972;52.989553;50.48193;50.3625;78.375;0.011111;0.011111;20;0.139617;1;1;18.276307;20;;1.723693;8.62%
02.cze;18.608982;43.85699;53.038291;50.54377;50.45;78.5;0.011111;0.011111;20;0.138607;1;1;18.608982;20;;1.391018;6.96%
02.cze;18.905753;43.950719;52.974951;50.526141;50.45;78.5;0.011111;0.011111;20;0.136088;1;1;18.905753;20;;1.094247;5.47%
02.cze;19.169479;44.018068;52.928172;50.5095;50.45;78.5;0.011111;0.011111;20;0.134376;1;1;19.169479;20;;0.830521;4.15%
